#REFERENCE 3 133.693580 -1.360320
14 8.333333 -41.666667 0.5349 0.0000  100.42 0.0 0.0
15 12.500000 -41.666667 0.5602 0.0000  106.06 0.0 0.0
16 16.666667 -41.666667 0.5711 0.0000  111.40 0.0 0.0
17 20.833333 -41.666667 0.5650 0.0000  116.38 0.0 0.0
18 25.000000 -41.666667 0.5435 0.0000  120.99 0.0 0.0
19 29.166667 -41.666667 0.5110 0.0000  125.24 0.0 0.0
20 33.333333 -41.666667 0.4727 0.0000  129.13 0.0 0.0
21 37.500000 -41.666667 0.4331 0.0000  132.70 0.0 0.0
22 41.666667 -41.666667 0.3953 0.0000  135.95 0.0 0.0
23 45.833333 -41.666667 0.3608 0.0000  138.93 0.0 0.0
24 50.000000 -41.666667 0.3300 0.0000  141.65 0.0 0.0
0 -50.000000 -37.500000 0.2145 0.0000   36.16 0.0 0.0
1 -45.833333 -37.500000 0.2259 0.0000   38.35 0.0 0.0
2 -41.666667 -37.500000 0.2385 0.0000   40.83 0.0 0.0
3 -37.500000 -37.500000 0.2525 0.0000   43.63 0.0 0.0
4 -33.333333 -37.500000 0.2681 0.0000   46.80 0.0 0.0
5 -29.166667 -37.500000 0.2858 0.0000   50.38 0.0 0.0
6 -25.000000 -37.500000 0.3059 0.0000   54.43 0.0 0.0
7 -20.833333 -37.500000 0.3291 0.0000   58.99 0.0 0.0
8 -16.666667 -37.500000 0.3563 0.0000   64.06 0.0 0.0
9 -12.500000 -37.500000 0.3881 0.0000   69.66 0.0 0.0
10 -8.333333 -37.500000 0.4256 0.0000   75.71 0.0 0.0
11 -4.166667 -37.500000 0.4687 0.0000   82.12 0.0 0.0
12 0.000000 -37.500000 0.5163 0.0000   88.72 0.0 0.0
13 4.166667 -37.500000 0.5643 0.0000   95.34 0.0 0.0
14 8.333333 -37.500000 0.6059 0.0000  101.80 0.0 0.0
15 12.500000 -37.500000 0.6328 0.0000  107.95 0.0 0.0
16 16.666667 -37.500000 0.6385 0.0000  113.70 0.0 0.0
17 20.833333 -37.500000 0.6217 0.0000  119.00 0.0 0.0
18 25.000000 -37.500000 0.5867 0.0000  123.84 0.0 0.0
19 29.166667 -37.500000 0.5411 0.0000  128.25 0.0 0.0
